,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Weekend Reservations,Weekday Reservations,Revenue,Location_Rural,Location_Suburban,Cuisine_French,Cuisine_Indian,Cuisine_Italian,Cuisine_Japanese,Cuisine_Mexican,Parking Availability_Yes
0,4.0,38,73.98,2224.0,23406.0,13,185,161.92490574327928,1.3,7.0,13,4,638945.52,1,0,0,0,0,1,0,1
1,3.2,76,28.11,4416.0,42741.0,8,533,148.7597173739537,2.6,3.4,48,6,490207.83,0,0,0,0,0,0,1,1
2,4.7,48,48.29,2796.0,37285.0,18,853,56.84918945954191,5.3,6.7,27,14,541368.62,1,0,0,0,1,0,0,0
3,4.4,34,51.55,1167.0,15214.0,13,82,205.43326529316235,4.6,2.8,9,17,404556.8,1,0,0,0,1,0,0,1
4,4.9,88,75.98,3639.0,40171.0,9,78,241.68158411313135,8.6,2.1,37,26,1350758.47875,0,0,0,0,0,1,0,0
5,4.4,79,35.69,6787.0,75378.0,5,400,247.5444607760481,2.0,8.5,27,22,644220.9,0,0,0,1,0,0,0,1
6,4.9,49,35.3,2594.0,32587.0,11,106,206.159034961204,1.5,5.3,12,28,400348.65,1,0,0,0,0,0,1,0
7,4.1,61,73.65,3213.0,33429.0,14,377,135.319312410584,1.8,4.6,56,23,1014153.65,0,1,0,0,0,1,0,0
8,4.2,37,73.75,3437.0,37102.0,18,494,55.65241712047435,7.1,9.4,27,24,635606.1,1,0,0,0,0,1,0,1
9,5.0,32,59.8,2569.0,28419.0,18,907,273.9448868142822,6.4,7.4,12,19,452920.65,1,0,1,0,0,0,0,0
10,4.3,48,59.25,2840.0,36487.0,16,520,157.2615545943513,6.7,7.1,16,45,656474.6,1,0,1,0,0,0,0,0
11,3.1,40,32.11,2792.0,34058.0,4,419,200.29386216601912,2.4,2.7,4,20,295333.14,1,0,0,1,0,0,0,0
12,4.4,77,35.6,7187.75,77526.875,19,741,98.63901879525552,5.6,2.9,46,39,645268.3,0,0,0,0,0,0,1,1
13,4.8,42,45.55,1968.0,22976.0,5,420,85.48892948147306,7.9,5.3,4,39,437468.35,1,0,0,0,0,0,0,1
14,4.6,59,63.22,3282.0,39922.0,2,988,71.70442820197951,7.2,6.9,18,1,836011.9,0,1,1,0,0,0,0,0
15,4.2,87,38.26,2460.0,27600.0,17,687,249.6913013045971,4.9,4.6,38,47,760413.88,0,0,0,0,0,0,0,1
16,4.3,61,47.7,1315.0,20612.0,4,685,211.6151783181189,1.9,1.6,30,48,651068.0,0,1,0,0,1,0,0,1
17,5.0,56,65.87,3994.0,42576.0,6,971,205.289814737296,8.8,7.1,24,41,836123.03,0,1,1,0,0,0,0,1
